title,job_type,location
Data Collector,Full Time,Lagos
Data Analytics Intern,Full Time,Nigeria
Team Lead - Data Center Operations,Full Time,
Data Analyst,Full Time,
"Senior Manager, Data center Planning & Design",Full Time,
ETL Developer / Data Engineer,Full Time,
"Data Analytics Tutor / Trainer (R, Python, and SQL)",Full Time,
Data Scientist,Full Time,
Data Engineer-Talent Pipeline,Full Time Remote,
HR Admin/Data Management Officer,Full Time,
SAP Data Migration Consultant,Full Time,
Data Analyst (Operations),Full Time,
Data Center Facility Lead,Full Time,Lagos
ERP Data Entry Officer,Full Time,Lagos
Data Engineer,Full Time,Abuja
"Senior Data Analyst (Credit Risk, Bank)",Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst (Operations),Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Data Center Facility Engineer,Full Time,Lagos
Data Analysis Instructor,Full Time,Abuja
Data Analyst,Full Time,
Sales Data Analyst,Full Time,Lagos
"Analyst, Data Architecture",Full Time,Lagos
"Analyst, Data Engineering",Full Time,Lagos
"Team Lead, Data Governance",Full Time,Lagos
"Associate, Data Engineering",Full Time,Lagos
"Associate, Data Architecture",Full Time,Lagos
"Head, Solutions and Data",Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Clark,Full Time,Katsina
Python Data Scientist,Full Time,
Data Analysis Resource Person,Full Time,Abuja
Data Engineer,Full Time,Lagos
Junior Data Engineer,Full Time,Lagos
People Data Analyst,Full Time,Lagos
Data/Business Intelligence Analyst (Onsite),Full Time,Lagos
Programme Analyst / Data Processing Assistant,Full Time,Cross River
System Support / Data Entry Officer,Full Time,Lagos
ERP Data Entry Officer,Full Time,Lagos
Senior Associate Data and Analytics,Full Time,Lagos
Big Data Solution Manager,Full Time,
Data Collector,Full Time,
Data Quality Analyst Lead,Remote,
Data Processing Teacher,Full Time,Lagos
"Head, Performance & Data Management",Full Time,Abia
"Strategic Account Manager, Colo/Cloud/Data Centers",Full Time,Lagos
Data Engineers,Full Time,Lagos
"Associate, Business Intelligence & Data Analytics",Full Time,Lagos
Data Entry Clerk and Social Media Attendant (Male),Full Time,Lagos
"Social and Behaviour Change Research and Data Specialist, P3 (Re-Advertised)",Contract,Abuja
"Head, Performance & Data Management",Full Time,
Data Engineering Instructor/Trainer,Full Time Remote,Lagos
Programme Analyst / Data Processing Assistant,Full Time,Cross River
System Support / Data Entry Officer,Full Time,Lagos
ERP Data Entry Officer,Full Time,Lagos
Senior Associate Data and Analytics,Full Time,Lagos
Big Data Solution Manager,Full Time,Lagos
Data Collector,Full Time,
Data Quality Analyst Lead,Remote,
Data Processing Teacher,Full Time,Lagos
"Head, Performance & Data Management",Full Time,
"Strategic Account Manager, Colo/Cloud/Data Centers",Full Time,Lagos
Data Engineers,Full Time,Lagos
"Associate, Business Intelligence & Data Analytics",Full Time,Lagos
Data Entry Clerk and Social Media Attendant (Male),Full Time,Lagos
"Social and Behaviour Change Research and Data Specialist, P3 (Re-Advertised)",Contract,Abuja
"Head, Performance & Data Management",Full Time,
Data Engineering Instructor/Trainer,Full Time Remote,Lagos
Senior Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Collections Officer,Contract Full Time,
Data Analyst,Full Time,Lagos
ICT / Data Processing Instructor,Full Time,Lagos
Data Scientist,Full Time,Lagos
Senior Data and Analytics Consultant,Full Time,Lagos
Data Analysis Resource Person,Full Time,Abuja
Data Analyst,Full Time Remote,Abia
Data Processing Specialist,Full Time,Lagos
Data Analyst,Full Time,Abuja
Data Expert M/F,Full Time,Rivers
Team Lead Market Data Sales,Full Time,
Data Analyst,Full Time,Lagos
